,Name,Average Household Income_2011,Population_2011,Poverty Count_2011,White Pop_2011,White Median Income_2011,Black Pop_2011,Black Median Income_2011,Asian Pop_2011,Asian Median Income_2011,Hispanic or Latino Pop_2011,Hispanic or Latino Median Income_2011,Average Household Income_2014,Population_2014,Poverty Count_2014,White Pop_2014,White Median Income_2014,Black Pop_2014,Black Median Income_2014,Asian Pop_2014,Asian Median Income_2014,Hispanic or Latino Pop_2014,Hispanic or Latino Median Income_2014,Average Household Income,Population,Poverty Count,White Pop,White Median Income,Black Pop,Black Median Income,Asian Pop,Asian Median Income,Hispanic or Latino Pop,Hispanic or Latino Median Income,Difference in White Median Income (2011-2014),Difference in White Median Income (2014-2018),Difference in Black Median Income (2011-2014),Difference in Black Median Income (2014-2018),Difference in Asian Median Income (2011-2014),Difference in Asian Median Income (2014-2018),Difference in Hispanic or Latino Median Income (2011-2014),Difference in Hispanic or Latino Median Income (2014-2018)
0,Alabama,42934.0,4747424.0,813385.0,3195148.0,49284.0,1238196.0,28156.0,52207.0,54756.0,173990.0,35735.0,43511.0,4817678.0,889710.0,3206588.0,49989.0,1263162.0,29055.0,57780.0,56276.0,191838.0,34763.0,48486.0,4864680.0,829400.0,3196730.0,55265.0,1285737.0,32188.0,63936.0,62639.0,203146.0,38314.0,705.0,5276.0,899.0,3133.0,1520.0,6363.0,-972.0,3551.0
1,Alaska,69014.0,700703.0,65111.0,451256.0,75201.0,22224.0,59119.0,35401.0,64794.0,39212.0,60274.0,71829.0,728300.0,71866.0,458284.0,78752.0,23787.0,55897.0,40357.0,63551.0,45247.0,62038.0,76715.0,738516.0,77865.0,450754.0,84799.0,22817.0,58209.0,45617.0,69685.0,51186.0,66283.0,3551.0,6047.0,-3222.0,2312.0,-1243.0,6134.0,1764.0,4245.0
2,Arizona,50752.0,6337373.0,1003575.0,3686433.0,52566.0,238499.0,40540.0,168066.0,65194.0,1864375.0,39258.0,49928.0,6561516.0,1169309.0,3734853.0,51717.0,257620.0,39266.0,186451.0,65658.0,1977026.0,38567.0,56213.0,6946685.0,1092192.0,3825886.0,58435.0,286614.0,45310.0,222477.0,74430.0,2163312.0,45610.0,-849.0,6718.0,-1274.0,6044.0,464.0,8772.0,-691.0,7043.0
3,Arkansas,40149.0,2895928.0,516822.0,2166104.0,43377.0,447041.0,25681.0,34521.0,48249.0,177869.0,33696.0,41264.0,2947036.0,549303.0,2178191.0,44553.0,455402.0,26733.0,38025.0,55922.0,198109.0,34173.0,45726.0,2990671.0,510337.0,2173849.0,49581.0,458536.0,30758.0,43441.0,65919.0,219052.0,39787.0,1176.0,5028.0,1052.0,4025.0,7673.0,9997.0,477.0,5614.0
4,California,61632.0,36969200.0,5211481.0,15028200.0,64530.0,2159863.0,44471.0,4760615.0,75968.0,13752743.0,47618.0,61489.0,38066920.0,6115244.0,14905601.0,64405.0,2155929.0,43476.0,5062736.0,77932.0,14534449.0,47206.0,71228.0,39148760.0,5487141.0,14695836.0,74276.0,2164519.0,49334.0,5525439.0,91623.0,15221577.0,55084.0,-125.0,9871.0,-995.0,5858.0,1964.0,13691.0,-412.0,7878.0
5,Colorado,57685.0,4966061.0,607727.0,3491019.0,60200.0,186206.0,39797.0,132102.0,61939.0,1011545.0,40025.0,59448.0,5197580.0,663861.0,3605199.0,61794.0,198952.0,41980.0,143581.0,64854.0,1088602.0,41982.0,68811.0,5531141.0,590504.0,3778212.0,71221.0,216732.0,49634.0,169556.0,73189.0,1184794.0,50944.0,1594.0,9427.0,2183.0,7654.0,2915.0,8335.0,1957.0,8962.0
6,Connecticut,69243.0,3558172.0,326771.0,2554059.0,74618.0,330025.0,43886.0,132894.0,82022.0,463407.0,40257.0,69899.0,3592053.0,364740.0,2508360.0,75804.0,342043.0,42838.0,144619.0,86676.0,512795.0,39375.0,76106.0,3581504.0,348449.0,2418696.0,82950.0,351817.0,47856.0,157406.0,93665.0,561791.0,45730.0,1186.0,7146.0,-1048.0,5018.0,4654.0,6989.0,-882.0,6355.0
7,Delaware,59317.0,890856.0,96805.0,586953.0,63907.0,185245.0,43680.0,28430.0,88818.0,70196.0,42020.0,60231.0,917060.0,107101.0,590218.0,64791.0,193047.0,46149.0,31465.0,87453.0,78598.0,46295.0,65627.0,949495.0,109798.0,595623.0,70154.0,204665.0,48297.0,36464.0,96657.0,86315.0,53964.0,884.0,5363.0,2469.0,2148.0,-1365.0,9204.0,4275.0,7669.0
8,District of Columbia,61835.0,593955.0,101833.0,202229.0,102084.0,304769.0,39421.0,20645.0,76969.0,53372.0,53754.0,69235.0,633736.0,109378.0,224184.0,111817.0,308766.0,40829.0,22512.0,82213.0,62637.0,61210.0,82604.0,684498.0,109497.0,248057.0,132040.0,315281.0,43564.0,26278.0,103898.0,74776.0,75004.0,9733.0,20223.0,1408.0,2735.0,5244.0,21685.0,7456.0,13794.0
9,Florida,47827.0,18688787.0,2679400.0,10917419.0,50554.0,2831746.0,35334.0,447305.0,59435.0,4122759.0,41498.0,47212.0,19361792.0,3159259.0,10958680.0,50002.0,2979524.0,34467.0,482166.0,61248.0,4517191.0,40712.0,53267.0,20598139.0,2983851.0,11196857.0,56008.0,3167011.0,39586.0,548642.0,68777.0,5184720.0,46627.0,-552.0,6006.0,-867.0,5119.0,1813.0,7529.0,-786.0,5915.0
10,Georgia,49736.0,9600612.0,1541462.0,5405212.0,56968.0,2887601.0,36862.0,306751.0,61986.0,824037.0,37371.0,49342.0,9907756.0,1781388.0,5448717.0,56472.0,3014233.0,36356.0,342506.0,64364.0,896717.0,38032.0,55679.0,10297484.0,1607714.0,5476441.0,63543.0,3195363.0,42085.0,399223.0,77008.0,968463.0,46734.0,-496.0,7071.0,-506.0,5729.0,2378.0,12644.0,661.0,8702.0
