STABBR,UGDS_WHITE_2011,UGDS_BLACK_2011,UGDS_HISP_2011,UGDS_ASIAN_2011,UGDS_AIAN_2011,UGDS_WHITE_2014,UGDS_BLACK_2014,UGDS_HISP_2014,UGDS_ASIAN_2014,UGDS_AIAN_2014,UGDS_WHITE_2018,UGDS_BLACK_2018,UGDS_HISP_2018,UGDS_ASIAN_2018,UGDS_AIAN_2018,WHITE_change_14_18,WHITE_change_11_18,WHITE_change_11_14,BLACK_change_14_18,BLACK_change_11_18,BLACK_change_11_14,HISP_change_14_18,HISP_change_11_18,HISP_change_11_14,ASIAN_change_14_18,ASIAN_change_11_18,ASIAN_change_11_14,AIAN_change_14_18,AIAN_change_11_18,AIAN_change_11_14
AK,0.6429,0.013,0.0455,0.0,0.1234,0.5388,0.0112,0.0427,0.0157,0.1879,0.0855,0.0263,0.0132,0.0855,0.75,-0.4532999999999999,-0.5574,-0.10410000000000008,0.0151,0.013300000000000001,-0.0017999999999999995,-0.029500000000000002,-0.032299999999999995,-0.002799999999999997,0.0698,0.0855,0.0157,0.5621,0.6266,0.06450000000000002
AL,0.6732,0.3067,0.0051,0.0026,0.0051,0.7255,0.2613,0.0044,0.0025,0.0044,0.725,0.2337,0.0239,0.0041,0.0041,-0.000500000000000056,0.05179999999999996,0.05230000000000001,-0.027599999999999986,-0.07299999999999998,-0.045399999999999996,0.0195,0.0188,-0.0007000000000000001,0.0016000000000000003,0.0015000000000000005,-9.999999999999983e-05,-0.0002999999999999999,-0.001,-0.0007000000000000001
AR,0.855,0.0527,0.0299,0.0081,0.0054,0.8286,0.0514,0.0504,0.0093,0.0037,0.8019,0.0764,0.0607,0.0089,0.0069,-0.026700000000000057,-0.053100000000000036,-0.02639999999999998,0.024999999999999994,0.0237,-0.0012999999999999956,0.010299999999999997,0.030799999999999998,0.0205,-0.0003999999999999993,0.0008000000000000004,0.0011999999999999997,0.0031999999999999997,0.0014999999999999996,-0.0017000000000000001
AS,0.0019,0.0,0.0005,0.0033,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,0.2069,0.0308,0.6124,0.0114,0.0117,0.1793,0.0292,0.6952,0.01,0.0114,0.1421,0.0271,0.74,0.0094,0.0114,-0.03719999999999998,-0.0648,-0.027600000000000013,-0.002100000000000001,-0.003700000000000002,-0.0016000000000000007,0.04479999999999995,0.12759999999999994,0.08279999999999998,-0.0005999999999999998,-0.002,-0.0014000000000000002,0.0,-0.0002999999999999999,-0.0002999999999999999
CA,0.1534,0.2142,0.1548,0.2804,0.0025,0.1512,0.2131,0.218,0.3027,0.0037,0.1532,0.1775,0.2372,0.3355,0.001,0.0020000000000000018,-0.00020000000000000573,-0.0022000000000000075,-0.03560000000000002,-0.03670000000000001,-0.0010999999999999899,0.019199999999999995,0.0824,0.0632,0.032799999999999996,0.05510000000000004,0.022300000000000042,-0.0027,-0.0015,0.0012000000000000001
CO,0.6366,0.0224,0.2817,0.0118,0.0109,0.5721,0.0174,0.3617,0.0119,0.0054,0.5383,0.0209,0.3905,0.0125,0.0055,-0.03380000000000005,-0.09830000000000005,-0.0645,0.0034999999999999996,-0.0015000000000000013,-0.005000000000000001,0.028799999999999992,0.10880000000000001,0.08000000000000002,0.0005999999999999998,0.000700000000000001,0.00010000000000000113,9.99999999999994e-05,-0.0054,-0.0055
CT,0.7811,0.0801,0.0572,0.029,0.0015,0.731,0.0973,0.0828,0.0319,0.003,0.6024,0.1758,0.146,0.023,0.002,-0.12859999999999994,-0.17869999999999997,-0.05010000000000003,0.07850000000000001,0.09570000000000001,0.017199999999999993,0.06319999999999999,0.08879999999999999,0.025599999999999998,-0.008899999999999998,-0.006000000000000002,0.0028999999999999963,-0.001,0.0005,0.0015
DE,0.6769,0.1884,0.0575,0.0176,0.0044,0.6409,0.1796,0.0911,0.0205,0.0039,0.501,0.257,0.1294,0.0305,0.0041,-0.13990000000000002,-0.17589999999999995,-0.03599999999999992,0.0774,0.0686,-0.008800000000000002,0.03829999999999999,0.07189999999999999,0.0336,0.009999999999999998,0.012899999999999998,0.0029,0.00020000000000000052,-0.0002999999999999999,-0.0005000000000000004
FL,0.7157,0.1219,0.0944,0.0222,0.0061,0.6742,0.1254,0.1145,0.0198,0.0054,0.3386,0.184,0.3391,0.0295,0.0025,-0.3356,-0.3771,-0.04149999999999998,0.058599999999999985,0.0621,0.003500000000000017,0.22460000000000002,0.24470000000000003,0.020100000000000007,0.009699999999999997,0.0072999999999999975,-0.0023999999999999994,-0.0029000000000000002,-0.0036000000000000003,-0.0007000000000000001
FM,0.001,0.0,0.0,0.0007,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.001,-0.0006000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007,-0.0007,0.0,0.0,0.0
GA,0.1742,0.8052,0.0077,0.0026,0.0013,0.177,0.7994,0.0117,0.0023,0.0009,0.2038,0.755,0.019,0.0012,0.0028,0.026800000000000018,0.029600000000000015,0.002799999999999997,-0.044399999999999995,-0.05020000000000002,-0.005800000000000027,0.007299999999999999,0.0113,0.004,-0.0011,-0.0014,-0.0002999999999999999,0.0019,0.0015,-0.00039999999999999996
GU,0.0149,0.0072,0.0041,0.3949,0.001,0.0199,0.0204,0.004,0.4104,0.001,0.0155,0.0089,0.0042,0.4275,0.0018,-0.004400000000000001,0.0005999999999999998,0.005000000000000001,-0.011500000000000002,0.0017000000000000001,0.013200000000000002,0.00019999999999999966,9.99999999999994e-05,-0.00010000000000000026,0.017100000000000004,0.03260000000000002,0.015500000000000014,0.0007999999999999999,0.0007999999999999999,0.0
HI,0.0734,0.0157,0.0793,0.4325,0.0034,0.0767,0.0224,0.1027,0.4201,0.0018,0.0699,0.0167,0.1126,0.4342,0.0011,-0.0068000000000000005,-0.003500000000000003,0.0032999999999999974,-0.0057,0.0010000000000000009,0.006700000000000001,0.009900000000000006,0.03330000000000001,0.023400000000000004,0.014100000000000001,0.0016999999999999793,-0.012400000000000022,-0.0006999999999999999,-0.0023,-0.0015999999999999999
IA,0.7124,0.1116,0.0463,0.0262,0.005,0.7416,0.0795,0.066,0.0341,0.0038,0.6947,0.0764,0.0865,0.0397,0.0039,-0.04690000000000005,-0.01770000000000005,0.029200000000000004,-0.0031000000000000055,-0.03520000000000001,-0.032100000000000004,0.02049999999999999,0.04019999999999999,0.019700000000000002,0.005600000000000001,0.013499999999999998,0.007899999999999997,9.999999999999983e-05,-0.0011000000000000003,-0.0012000000000000001
ID,0.7641,0.0071,0.1116,0.0085,0.0113,0.8086,0.0019,0.1524,0.0112,0.013,0.7834,0.0089,0.1667,0.0071,0.0107,-0.0252,0.019299999999999984,0.044499999999999984,0.007,0.0017999999999999995,-0.005200000000000001,0.01429999999999998,0.05509999999999998,0.0408,-0.0040999999999999995,-0.0014000000000000002,0.0026999999999999993,-0.0023,-0.0005999999999999998,0.0017000000000000001
IL,0.6528,0.2186,0.0345,0.01,0.0023,0.6366,0.2177,0.0433,0.0087,0.0024,0.6429,0.1959,0.0501,0.0117,0.0019,0.006299999999999972,-0.00990000000000002,-0.016199999999999992,-0.021800000000000014,-0.022699999999999998,-0.0008999999999999841,0.0068000000000000005,0.015599999999999996,0.008799999999999995,0.003000000000000001,0.0017000000000000001,-0.0013000000000000008,-0.0004999999999999998,-0.00039999999999999996,9.999999999999983e-05
IN,0.6618,0.1915,0.0744,0.011,0.0062,0.7057,0.1524,0.0618,0.0152,0.0042,0.7094,0.1391,0.0474,0.0207,0.0036,0.0037000000000000366,0.047599999999999976,0.04389999999999994,-0.013300000000000006,-0.0524,-0.039099999999999996,-0.014400000000000003,-0.026999999999999996,-0.012599999999999993,0.0055,0.0097,0.004200000000000001,-0.0005999999999999998,-0.0026,-0.002
KS,0.8599,0.0585,0.051,0.0097,0.0172,0.8231,0.0613,0.0807,0.0167,0.0122,0.7332,0.0789,0.1082,0.0112,0.0168,-0.08990000000000009,-0.12670000000000003,-0.036799999999999944,0.017599999999999998,0.020399999999999995,0.002799999999999997,0.02750000000000001,0.05720000000000001,0.029699999999999997,-0.0055,0.0014999999999999996,0.006999999999999999,0.004599999999999998,-0.00040000000000000105,-0.004999999999999999
