STABBR,UGDS_WHITE_2011,UGDS_BLACK_2011,UGDS_HISP_2011,UGDS_ASIAN_2011,UGDS_AIAN_2011,UGDS_WHITE_2014,UGDS_BLACK_2014,UGDS_HISP_2014,UGDS_ASIAN_2014,UGDS_AIAN_2014,UGDS_WHITE_2018,UGDS_BLACK_2018,UGDS_HISP_2018,UGDS_ASIAN_2018,UGDS_AIAN_2018,WHITE_change_14_18,WHITE_change_11_18,WHITE_change_11_14,BLACK_change_14_18,BLACK_change_11_18,BLACK_change_11_14,HISP_change_14_18,HISP_change_11_18,HISP_change_11_14,ASIAN_change_14_18,ASIAN_change_11_18,ASIAN_change_11_14,AIAN_change_14_18,AIAN_change_11_18,AIAN_change_11_14
AK,0.5363333333333333,0.02356666666666667,0.05516666666666666,0.03373333333333333,0.11240000000000001,0.4918,0.022900000000000004,0.06353333333333333,0.04203333333333333,0.09886666666666666,0.5363666666666665,0.026099999999999998,0.08463333333333334,0.043699999999999996,0.10366666666666667,0.04456666666666653,3.333333333321864e-05,-0.044533333333333314,0.0031999999999999945,0.0025333333333333284,-0.0006666666666666661,0.021100000000000008,0.029466666666666676,0.008366666666666668,0.0016666666666666635,0.009966666666666665,0.008300000000000002,0.004800000000000013,-0.008733333333333343,-0.013533333333333356
AL,0.4446666666666667,0.4566666666666667,0.017833333333333333,0.026966666666666667,0.006466666666666667,0.44143333333333334,0.44026666666666664,0.023999999999999997,0.03043333333333333,0.0063,0.43566666666666665,0.4214,0.03166666666666667,0.03439999999999999,0.005033333333333333,-0.005766666666666698,-0.009000000000000064,-0.003233333333333366,-0.018866666666666643,-0.035266666666666724,-0.01640000000000008,0.007666666666666672,0.013833333333333336,0.006166666666666664,0.0039666666666666635,0.0074333333333333265,0.003466666666666663,-0.0012666666666666668,-0.0014333333333333333,-0.00016666666666666653
AR,0.7416333333333333,0.1381,0.040233333333333336,0.017566666666666664,0.008833333333333334,0.6821666666666667,0.15083333333333335,0.06183333333333333,0.02523333333333333,0.0064333333333333334,0.6527333333333334,0.1432,0.06986666666666667,0.022166666666666668,0.0053,-0.02943333333333331,-0.08889999999999987,-0.05946666666666656,-0.007633333333333353,0.005099999999999993,0.012733333333333346,0.008033333333333344,0.029633333333333338,0.021599999999999994,-0.003066666666666662,0.004600000000000003,0.007666666666666665,-0.0011333333333333334,-0.0035333333333333336,-0.0024000000000000002
AS,0.0019,0.0,0.0005,0.0033,0.0,0.0016,0.0,0.0,0.0047,0.0,0.001,0.0,0.001,0.0081,0.0,-0.0006000000000000001,-0.0009,-0.0002999999999999999,0.0,0.0,0.0,0.001,0.0005,-0.0005,0.0033999999999999994,0.0048,0.0014000000000000002,0.0,0.0,0.0
AZ,0.46856666666666663,0.03836666666666667,0.33890000000000003,0.041800000000000004,0.014033333333333333,0.4191,0.0347,0.3789,0.0447,0.012066666666666665,0.3812666666666667,0.03456666666666666,0.40796666666666664,0.04733333333333334,0.011633333333333334,-0.037833333333333274,-0.08729999999999993,-0.04946666666666666,-0.00013333333333333947,-0.0038000000000000048,-0.0036666666666666653,0.02906666666666663,0.06906666666666661,0.03999999999999998,0.0026333333333333417,0.0055333333333333345,0.002899999999999993,-0.0004333333333333307,-0.0023999999999999994,-0.0019666666666666686
CA,0.19976666666666665,0.12356666666666667,0.47946666666666665,0.11346666666666666,0.0032333333333333333,0.3257333333333334,0.11330000000000001,0.31766666666666665,0.1502666666666667,0.0061,0.27086666666666664,0.09163333333333333,0.3797,0.16116666666666665,0.0030333333333333336,-0.05486666666666673,0.0711,0.12596666666666673,-0.02166666666666668,-0.03193333333333334,-0.01026666666666666,0.06203333333333333,-0.09976666666666667,-0.1618,0.010899999999999965,0.04769999999999999,0.03680000000000003,-0.0030666666666666668,-0.00019999999999999966,0.002866666666666667
CO,0.5848,0.04146666666666667,0.2336666666666667,0.015600000000000001,0.010833333333333334,0.5688333333333333,0.03933333333333333,0.28486666666666666,0.017400000000000002,0.009099999999999999,0.4866,0.0448,0.3025333333333333,0.0168,0.008666666666666668,-0.08223333333333332,-0.09820000000000001,-0.015966666666666685,0.005466666666666668,0.003333333333333327,-0.0021333333333333412,0.017666666666666664,0.06886666666666663,0.05119999999999997,-0.0006000000000000033,0.001199999999999998,0.0018000000000000013,-0.0004333333333333307,-0.0021666666666666657,-0.001733333333333335
CT,0.7251,0.11223333333333334,0.08063333333333333,0.027566666666666666,0.0020666666666666667,0.668,0.1284,0.11339999999999999,0.026899999999999997,0.002766666666666667,0.5773,0.16066666666666668,0.1568,0.03376666666666667,0.0014666666666666667,-0.0907,-0.14779999999999993,-0.05709999999999993,0.032266666666666693,0.04843333333333334,0.01616666666666665,0.04340000000000001,0.07616666666666666,0.03276666666666665,0.00686666666666667,0.006200000000000001,-0.0006666666666666696,-0.0013000000000000002,-0.0006000000000000001,0.0007000000000000001
DC,0.0284,0.4537,0.0416,0.0047,0.0002,0.0447,0.6261,0.0856,0.0256,0.0014,0.0424,0.6042,0.1307,0.0189,0.0025,-0.0022999999999999965,0.013999999999999999,0.016299999999999995,-0.02190000000000003,0.15049999999999997,0.1724,0.045100000000000015,0.08910000000000001,0.044,-0.006700000000000001,0.0142,0.020900000000000002,0.0011,0.0023,0.0012
DE,0.604,0.24203333333333332,0.06216666666666667,0.027800000000000002,0.0041333333333333335,0.5670000000000001,0.2494666666666667,0.08853333333333334,0.0302,0.0038,0.4307666666666667,0.3509,0.09383333333333332,0.0292,0.0026666666666666666,-0.13623333333333337,-0.1732333333333333,-0.03699999999999992,0.10143333333333329,0.10886666666666667,0.007433333333333375,0.005299999999999985,0.031666666666666655,0.02636666666666667,-0.0010000000000000009,0.0013999999999999985,0.0023999999999999994,-0.0011333333333333334,-0.001466666666666667,-0.0003333333333333335
FL,0.52145,0.33885,0.09855,0.02005,0.013600000000000001,0.6040666666666666,0.21830000000000002,0.12716666666666668,0.013766666666666668,0.0036000000000000003,0.5585333333333332,0.23226666666666665,0.14116666666666666,0.025566666666666665,0.0037333333333333333,-0.045533333333333426,0.037083333333333246,0.08261666666666667,0.013966666666666627,-0.10658333333333334,-0.12054999999999996,0.013999999999999985,0.042616666666666664,0.02861666666666668,0.011799999999999996,0.005516666666666666,-0.00628333333333333,0.00013333333333333296,-0.009866666666666668,-0.01
FM,0.001,0.0,0.0,0.0007,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.001,-0.0006000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007,-0.0007,0.0,0.0,0.0
