zip_code,zip_description
98003,Federal Way
98005,Bellevue
98033,Kirkland
98037,Lynnwood
98040,MercerIsland
98052,Redmond
98055,Renton
98101,Seattle
98101,Downtown
98102,CapitalHill
98103,Greenwood
98103,Freemont
98103,Greenlake
98104,InternationalDistrict
98104,PioneerSquare
98105,UniversityDistrict
98105,Laurelhurst
98107,Ballard
98109,SouthLakeUnion
98109,QueenAnne
98110,BainbridgeIsland
98110,Madrona
98116,WestSeattle
98116,AlkiBeach
98118,ColumbiaCity
98121,Belltown
98125,Northgate
98144,MountBaker
98199,Magnolia
